174237	25112	DENMARK HS	5465 CALDORWOOD RD	7:43:00 AM	5465 CALDORWOOD RD
175034	25112	DENMARK HS	BRIDGEHAMPTON AVE & HAMPTON OAKS DR	7:10:00 AM	BRIDGEHAMPTON AVE & HAMPTON OAKS DR, 30004
175035	25112	DENMARK HS	BRIDGEHAMPTON AVE & CAMDEN PARK PL	7:12:00 AM	BRIDGEHAMPTON AVE & CAMDEN PARK PL
175638	25112	DENMARK HS	MULLINAX RD & CUMORAH TRL	7:50:00 AM	MULLINAX RD & CUMORAH TRL, 30004
175918	25112	DENMARK HS	4720 ATLANTA HWY	7:05:00 AM	4720 ATLANTA HWY, 30004
143509	25113	DENMARK HS	SHILOH RD & EPPS LN	7:39:00 AM	SHILOH RD & Epps Ln, 30040
145974	25113	DENMARK HS	SUNSET TRL & BLUE SKY LN	7:41:00 AM	SUNSET TRL & BLUE SKY LN
145975	25113	DENMARK HS	UNION HILL RD & DOUBLE BRANCHES DR	7:45:00 AM	UNION HILL RD & DOUBLE BRANCHES DR
146273	25113	DENMARK HS	OTTER CREEK RUN & LOWER CREEK CT	7:42:00 AM	OTTER CREEK RUN & LOWER CREEK CT
146314	25113	DENMARK HS	SHILOH RD & FARMSTEAD DR	7:37:00 AM	
147311	25113	DENMARK HS	SHILOH RD & MARISTONE LANDING WAY	7:29:00 AM	SHILOH RD & MARISTONE LANDING WAY, 30040
150022	25113	DENMARK HS	UNION HILL RD & BRECKINRIDGE LN	7:25:00 AM	UNION HILL RD & BRECKINRIDGE LN, 30040
150922	25113	DENMARK HS	3971 MARS HILL RD	7:32:00 AM	3971 MARS HILL RD, 30040
150928	25113	DENMARK HS	4813 SHILOH RD	7:27:00 AM	4813 SHILOH RD, 30040
151131	25113	DENMARK HS	SHILOH RD & SHILOH VALLEY RD	7:38:00 AM	SHILOH RD & Shiloh Valley Rd, 30040
151340	25113	DENMARK HS	SHILOH RD & SHILOH DR	7:35:00 AM	SHILOH RD & SHILOH DR, 30040
166044	25113	DENMARK HS	MARS HILL DR & LOCHMAR TRL	7:33:00 AM	MARS HILL RD & Lochmar Trl, 30040
169978	25113	DENMARK HS	4946 SHILOH RD	7:44:00 AM	4946 SHILOH RD, 30040
170130	25113	DENMARK HS	5098 UNION HILL RD	7:44:00 AM	5098 UNION HILL RD, 30040
173494	25113	DENMARK HS	5236 UNION HILL RD	7:46:00 AM	5236 UNION HILL RD, 30040
176693	25113	DENMARK HS	SUNSET TRL & CRIPPLE CREEK CT	7:40:00 AM	SUNSET TRL & CRIPPLE CREEK CT, 30040
176694	25113	DENMARK HS	SHILOH RD & POOLE RD	7:30:00 AM	SHILOH RD & POOLE RD, 30040
147400	25114	DENMARK HS	RONALD REAGAN BLVD & SUMMIT CROSSING WAY	7:25:00 AM	RONALD REAGAN BLVD & SUMMIT CROSSING WAY, 30041
149668	25114	DENMARK HS	RONALD REAGAN BLVD & IVY SUMMIT CT	7:26:00 AM	RONALD REAGAN BLVD & IVY SUMMIT CT, 30041
150120	25114	DENMARK HS	FOWLER RD & FOWLER SPRINGS CT	7:38:00 AM	FOWLER RD & FOWLER SPRINGS CT, 30004
150464	25114	DENMARK HS	RONALD REAGAN BLVD & BRYTON TRACE DR	7:27:00 AM	RONALD REAGAN BLVD & Bryton Trace Dr, 30041
143492	25115	DENMARK HS	6302 VALLEY STREAM DR	7:38:00 AM	6302 VALLEY STREAM DR, 30040
149116	25115	DENMARK HS	CALAMAR DR & BLACK OAK DR	7:33:00 AM	CALAMAR DR & BLACK OAK DR, 30040
149117	25115	DENMARK HS	CALAMAR DR & WHITE OAK DR	7:34:00 AM	CALAMAR DR & WHITE OAK DR, 30040
150329	25115	DENMARK HS	WESTFALL PKWY & BROOKLEIGH OVLK	7:23:00 AM	Westfall Pkwy & Brookleigh Ovlk, 30040
